sitecode,probe_code,date_bgn,date_end,height,depth,method_code
"CENMET","AIRCEN01",08/26/2014,12/31/2050,450,0,"AIR248"
"CENMET","AIRCEN02",08/26/2014,12/31/2050,350,0,"AIR247"
"CENMET","AIRCEN03",08/26/2014,12/31/2050,250,0,"AIR246"
"CENMET","AIRCEN04",08/26/2014,12/31/2050,150,0,"AIR245"
"CS2MET","AIRCS202",02/28/2012,12/31/2050,150,0,"AIR334"
"H15MET","AIRH1501",02/01/2013,12/31/2050,450,0,"AIR335"
"H15MET","AIRH1502",02/01/2013,12/31/2050,150,0,"AIR334"
"PRIMET","AIRPRI01",05/15/2014,12/31/2050,450,0,"AIR248"
"PRIMET","AIRPRI02",05/15/2014,12/31/2050,350,0,"AIR247"
"PRIMET","AIRPRI03",05/15/2014,12/31/2050,250,0,"AIR246"
"PRIMET","AIRPRI04",05/15/2014,12/31/2050,150,0,"AIR245"
"PRIMET","AIRPRI06",04/17/2013,12/31/2050,150,0,"AIR241"
"PRIMET","AIRPRI07",04/16/2013,12/31/2050,250,0,"AIR242"
"PRIMET","AIRPRI08",04/16/2013,12/31/2050,350,0,"AIR243"
"PRIMET","AIRPRI09",04/16/2013,12/31/2050,450,0,"AIR244"
"UPLMET","AIRUPL01",05/29/2012,12/31/2050,450,0,"AIR335"
"UPLMET","AIRUPL02",05/29/2012,12/31/2050,350,0,"AIR327"
"UPLMET","AIRUPL03",05/29/2012,12/31/2050,250,0,"AIR326"
"UPLMET","AIRUPL04",05/29/2012,12/31/2050,150,0,"AIR334"
"UPLMET","AIRUPL08",05/29/2012,12/31/2050,350,0,"AIR138"
"VANMET","AIRVAN01",05/21/2014,12/31/2050,450,0,"AIR248"
"VANMET","AIRVAN02",05/21/2014,12/31/2050,350,0,"AIR247"
"VANMET","AIRVAN03",05/21/2014,12/31/2050,250,0,"AIR246"
"VANMET","AIRVAN04",05/21/2014,12/31/2050,150,0,"AIR245"
"VANMET","AIRVAN08",09/13/2013,12/31/2050,350,0,"AIR238"
"VANMET","AIRVAN10",10/23/2009,12/31/2050,450,0,"AIR228"
"CENMET","DEWCEN01",08/26/2014,12/31/2050,450,0,"DEW217"
"CENMET","DEWCEN04",08/26/2014,12/31/2050,150,0,"DEW216"
"CS2MET","DEWCS202",02/28/2012,12/31/2050,150,0,"DEW311"
"H15MET","DEWH1501",02/01/2013,12/31/2050,450,0,"DEW315"
"H15MET","DEWH1502",02/01/2013,12/31/2050,150,0,"DEW314"
"PRIMET","DEWPRI01",05/15/2014,12/31/2050,450,0,"DEW217"
"PRIMET","DEWPRI04",05/15/2014,12/31/2050,150,0,"DEW216"
"UPLMET","DEWUPL01",05/29/2012,12/31/2050,450,0,"DEW312"
"UPLMET","DEWUPL04",05/29/2012,12/31/2050,150,0,"DEW311"
"VANMET","DEWVAN01",05/21/2014,12/31/2050,450,0,"DEW217"
"VANMET","DEWVAN04",05/21/2014,12/31/2050,150,0,"DEW216"
"CENMET","LYSCEN01",11/30/1995,12/31/2050,0,0,"LYS102"
"H15MET","LYSH1501",03/12/1992,12/31/2050,0,0,"LYS102"
"UPLMET","LYSUPL01",10/26/1994,12/31/2050,0,0,"LYS102"
"CENMET","PARCEN01",01/24/1998,12/31/2050,625,0,"PAR101"
"CENMET","PPTCEN01",11/03/2000,12/31/2050,455,0,"PPT115"
"CENMET","PPTCEN02",08/23/1995,12/31/2050,625,0,"PPT116"
"CS2MET","PPTCS201",10/01/1957,12/31/2050,260,0,"PPT101"
"CS2MET","PPTCS202",02/01/2011,12/31/2050,250,0,"PPT118"
"H15MET","PPTH1501",10/01/1992,12/31/2050,410,0,"PPT106"
"H15MET","PPTH1502",08/05/1992,12/31/2050,410,0,"PPT113"
"PRIMET","PPTPRI01",09/28/1994,12/31/2050,100,0,"PPT108"
"UPLMET","PPTUPL01",09/02/1995,12/31/2050,455,0,"PPT115"
"UPLMET","PPTUPL02",10/10/1994,12/31/2050,625,0,"PPT116"
"VANMET","PPTVAN02",11/14/1998,12/31/2050,455,0,"PPT117"
"CENMET","RADCEN01",08/23/1995,12/31/2050,607,0,"RAD112"
"PRIMET","RADPRI01",09/24/1997,12/31/2050,100,0,"RAD106"
"PRIMET","RADPRI02",04/17/2013,12/31/2050,600,0,"RAD114"
"VANMET","RADPRI02",09/14/2013,12/31/2050,600,0,"RAD114"
"UPLMET","RADUPL01",10/11/1994,12/31/2050,617,0,"RAD111"
"VANMET","RADVAN01",09/19/1997,12/31/2050,850,0,"RAD110"
"CENMET","RELCEN01",08/26/2014,12/31/2050,450,0,"REL217"
"CENMET","RELCEN04",08/26/2014,12/31/2050,150,0,"REL216"
"CS2MET","RELCS202",02/28/2012,12/31/2050,150,0,"REL311"
"H15MET","RELH1501",02/01/2013,12/31/2050,450,0,"REL315"
"H15MET","RELH1502",02/01/2013,12/31/2050,150,0,"REL314"
"PRIMET","RELPRI01",05/15/2014,12/31/2050,450,0,"REL217"
"PRIMET","RELPRI04",05/15/2014,12/31/2050,150,0,"REL216"
"UPLMET","RELUPL01",05/29/2012,12/31/2050,450,0,"REL312"
"UPLMET","RELUPL04",05/29/2012,12/31/2050,150,0,"REL311"
"VANMET","RELVAN01",05/21/2014,12/31/2050,450,0,"REL217"
"VANMET","RELVAN04",05/21/2014,12/31/2050,150,0,"REL216"
"CENMET","SNOCEN01",08/30/2011,12/31/2050,335,0,"SNO110"
"PRIMET","SNOPRI01",01/07/2010,12/31/2050,345,0,"SNO111"
"UPLMET","SNOUPL01",10/17/2007,12/31/2050,505,0,"SNO113"
"VANMET","SNOVAN01",08/01/2007,12/31/2050,505,0,"SNO111"
"VARMET","SNOVAR05",10/23/2009,12/31/2050,585,0,"SNO112"
"CENMET","SOICEN01",11/04/2002,12/30/2050,0,10,"SOI101"
"CENMET","SOICEN02",11/04/2002,12/30/2050,0,20,"SOI102"
"CENMET","SOICEN03",11/04/2002,12/30/2050,0,50,"SOI103"
"CENMET","SOICEN04",11/04/2002,12/30/2050,0,100,"SOI104"
"PRIMET","SOIPRI01",02/22/2001,12/30/2050,0,10,"SOI101"
"PRIMET","SOIPRI02",02/22/2001,12/30/2050,0,20,"SOI102"
"PRIMET","SOIPRI03",02/22/2001,12/30/2050,0,50,"SOI103"
"PRIMET","SOIPRI04",02/22/2001,12/30/2050,0,100,"SOI104"
"UPLMET","SOIUPL01",10/14/2002,12/30/2050,0,10,"SOI101"
"UPLMET","SOIUPL02",10/14/2002,12/30/2050,0,20,"SOI102"
"UPLMET","SOIUPL03",10/14/2002,12/30/2050,0,50,"SOI103"
"UPLMET","SOIUPL04",10/14/2002,12/30/2050,0,100,"SOI104"
"VANMET","SOIVAN06",09/15/2004,12/30/2050,0,10,"SOI101"
"VANMET","SOIVAN07",09/15/2004,12/30/2050,0,20,"SOI102"
"VANMET","SOIVAN08",09/15/2004,12/30/2050,0,50,"SOI103"
"VANMET","SOIVAN09",09/15/2004,12/30/2050,0,100,"SOI104"
"CENMET","SWCCEN01",11/14/2002,12/30/2050,0,10,"SWC101"
"CENMET","SWCCEN02",11/14/2002,12/30/2050,0,20,"SWC102"
"CENMET","SWCCEN03",11/14/2002,12/30/2050,0,50,"SWC103"
"CENMET","SWCCEN04",11/14/2002,12/30/2050,0,100,"SWC104"
"PRIMET","SWCPRI01",06/04/1998,12/30/2050,0,10,"SWC101"
"PRIMET","SWCPRI02",06/04/1998,12/30/2050,0,20,"SWC102"
"PRIMET","SWCPRI03",06/04/1998,12/30/2050,0,50,"SWC103"
"PRIMET","SWCPRI04",06/04/1998,12/30/2050,0,100,"SWC104"
"UPLMET","SWCUPL01",10/20/2001,12/30/2050,0,10,"SWC101"
"UPLMET","SWCUPL02",10/20/2001,12/30/2050,0,20,"SWC102"
"UPLMET","SWCUPL03",10/20/2001,12/30/2050,0,50,"SWC103"
"UPLMET","SWCUPL04",10/20/2001,12/30/2050,0,100,"SWC104"
"VANMET","SWCVAN01",10/22/2001,12/30/2050,0,10,"SWC101"
"VANMET","SWCVAN02",10/22/2001,12/30/2050,0,20,"SWC102"
"VANMET","SWCVAN03",10/22/2001,12/30/2050,0,50,"SWC103"
"VANMET","SWCVAN04",10/22/2001,12/30/2050,0,100,"SWC104"
"CENMET","VPDCEN01",08/26/2014,12/31/2050,450,0,"VPD212"
"CENMET","VPDCEN04",08/26/2014,12/31/2050,150,0,"VPD211"
"CS2MET","VPDCS202",02/28/2012,12/31/2050,150,0,"VPD307"
"H15MET","VPDH1501",02/01/2013,12/31/2050,450,0,"VPD310"
"H15MET","VPDH1502",02/01/2013,12/31/2050,150,0,"VPD309"
"PRIMET","VPDPRI01",05/15/2014,12/31/2050,450,0,"VPD212"
"PRIMET","VPDPRI04",05/15/2014,12/31/2050,150,0,"VPD211"
"UPLMET","VPDUPL01",05/29/2012,12/31/2050,450,0,"VPD308"
"UPLMET","VPDUPL04",05/29/2012,12/31/2050,150,0,"VPD307"
"VANMET","VPDVAN01",05/21/2014,12/31/2050,450,0,"VPD212"
"VANMET","VPDVAN04",05/21/2014,12/31/2050,150,0,"VPD211"
"CENMET","WNDCEN01",08/23/1995,12/31/2050,1000,0,"WND108"
"H15MET","WNDH1501",03/12/1992,12/31/2050,500,0,"WND107"
"PRIMET","WNDPRI01",12/31/1988,12/31/2050,1000,0,"WND108"
"PRIMET","WNDPRI02",04/17/2013,12/31/2050,1000,0,"WND111"
"UPLMET","WNDUPL01",10/10/1994,12/31/2050,1000,0,"WND108"
"VANMET","WNDVAN01",08/27/1996,12/31/2050,1000,0,"WND108"
"VANMET","WNDVAN02",09/17/2013,12/31/2050,1000,0,"WND111"
