sitecode,probe_code,date_time_bgn,date_time_end,height,depth,finest_res,method_code
"CENMET","AIRCEN01",08/26/2014 00:00:00,12/31/2050 00:00:00,450,0,"05 minutes","AIR048"
"CENMET","AIRCEN02",08/26/2014 00:00:00,12/31/2050 00:00:00,350,0,"05 minutes","AIR047"
"CENMET","AIRCEN03",08/26/2014 00:00:00,12/31/2050 00:00:00,250,0,"05 minutes","AIR046"
"CENMET","AIRCEN04",08/26/2014 00:00:00,12/31/2050 00:00:00,150,0,"05 minutes","AIR045"
"CENMET","AIRCEN08",12/16/2014 15:10:00,12/31/2050 00:00:00,350,0,"05 minutes","AIR043"
"CS2MET","AIRCS202",08/01/2007 12:30:00,12/31/2050 00:00:00,150,0,"15 minutes","AIR034"
"H15MET","AIRH1501",09/16/2012 15:00:00,12/31/2050 00:00:00,450,0,"15 minutes","AIR035"
"H15MET","AIRH1502",09/16/2012 15:15:00,12/31/2050 00:00:00,150,0,"15 minutes","AIR034"
"PRIMET","AIRPRI01",05/15/2014 00:15:00,12/31/2050 00:00:00,450,0,"05 minutes","AIR048"
"PRIMET","AIRPRI02",05/15/2014 00:15:00,12/31/2050 00:00:00,350,0,"05 minutes","AIR047"
"PRIMET","AIRPRI03",05/15/2014 00:15:00,12/31/2050 00:00:00,250,0,"05 minutes","AIR046"
"PRIMET","AIRPRI04",05/15/2014 00:15:00,12/31/2050 00:00:00,150,0,"05 minutes","AIR045"
"PRIMET","AIRPRI06",04/17/2013 17:20:00,12/31/2050 00:00:00,150,0,"05 minutes","AIR041"
"PRIMET","AIRPRI07",04/16/2013 13:35:00,12/31/2050 00:00:00,250,0,"05 minutes","AIR042"
"PRIMET","AIRPRI08",04/16/2013 13:35:00,12/31/2050 00:00:00,350,0,"05 minutes","AIR043"
"PRIMET","AIRPRI09",04/16/2013 13:35:00,12/31/2050 00:00:00,450,0,"05 minutes","AIR044"
"UPLMET","AIRUPL01",06/28/2004 15:00:00,12/31/2050 00:00:00,450,0,"15 minutes","AIR035"
"UPLMET","AIRUPL02",07/16/2007 14:00:00,12/31/2050 00:00:00,350,0,"15 minutes","AIR027"
"UPLMET","AIRUPL03",07/16/2007 14:00:00,12/31/2050 00:00:00,250,0,"15 minutes","AIR026"
"UPLMET","AIRUPL04",06/18/2004 13:45:00,12/31/2050 00:00:00,150,0,"15 minutes","AIR034"
"UPLMET","AIRUPL08",10/09/2009 15:00:00,12/31/2050 00:00:00,350,0,"15 minutes","AIR038"
"VANMET","AIRVAN01",05/21/2014 00:00:00,12/31/2050 00:00:00,450,0,"05 minutes","AIR048"
"VANMET","AIRVAN02",05/21/2014 00:00:00,12/31/2050 00:00:00,350,0,"05 minutes","AIR047"
"VANMET","AIRVAN03",05/21/2014 00:00:00,12/31/2050 00:00:00,250,0,"05 minutes","AIR046"
"VANMET","AIRVAN04",05/21/2014 00:00:00,12/31/2050 00:00:00,150,0,"05 minutes","AIR045"
"VANMET","AIRVAN08",05/20/2014 00:00:00,12/31/2050 00:00:00,350,0,"05 minutes","AIR043"
"VANMET","AIRVAR10",10/23/2009 00:15:00,12/31/2050 00:00:00,450,0,"15 minutes","AIR028"
"CENMET","DEWCEN01",08/26/2014 00:00:00,12/31/2050 00:00:00,450,0,"05 minutes","DEW017"
"CENMET","DEWCEN04",08/26/2014 00:00:00,12/31/2050 00:00:00,150,0,"05 minutes","DEW016"
"CS2MET","DEWCS202",08/01/2007 13:00:00,12/31/2050 00:00:00,150,0,"60 minutes","DEW011"
"H15MET","DEWH1501",01/31/2013 11:00:00,12/31/2050 00:00:00,450,0,"15 minutes","DEW015"
"H15MET","DEWH1502",01/31/2013 11:00:00,12/31/2050 00:00:00,150,0,"15 minutes","DEW014"
"PRIMET","DEWPRI01",05/15/2014 00:15:00,12/31/2050 00:00:00,450,0,"05 minutes","DEW017"
"PRIMET","DEWPRI04",05/15/2014 00:15:00,12/31/2050 00:00:00,150,0,"05 minutes","DEW016"
"UPLMET","DEWUPL01",06/28/2004 15:00:00,12/31/2050 00:00:00,450,0,"60 minutes","DEW012"
"UPLMET","DEWUPL04",06/18/2004 14:00:00,12/31/2050 00:00:00,150,0,"60 minutes","DEW011"
"VANMET","DEWVAN01",05/21/2014 00:00:00,12/31/2050 00:00:00,450,0,"05 minutes","DEW017"
"VANMET","DEWVAN04",05/21/2014 00:00:00,12/31/2050 00:00:00,150,0,"05 minutes","DEW016"
"CENMET","LYSCEN01",11/29/1995 10:50:00,12/31/2050 00:00:00,0,0,"05 minutes","LYS002"
"H15MET","LYSH1501",03/12/1992 10:00:00,12/31/2050 00:00:00,0,0,"05 minutes","LYS002"
"UPLMET","LYSUPL01",10/26/1994 14:25:00,12/31/2050 00:00:00,0,0,"05 minutes","LYS002"
"CENMET","PARCEN01",01/23/1998 15:00:00,12/31/2050 00:00:00,625,0,"15 minutes","PAR001"
"CENMET","PPTCEN01",11/03/2000 13:30:00,12/31/2050 00:00:00,455,0,"05 minutes","PPT015"
"CENMET","PPTCEN02",08/23/1995 09:40:00,12/31/2050 00:00:00,625,0,"05 minutes","PPT016"
"CS2MET","PPTCS202",02/01/2011 16:15:00,12/31/2050 00:00:00,250,0,"15 minute","PPT018"
"H15MET","PPTH1501",10/01/1992 00:00:00,12/31/2050 00:00:00,410,0,"Daily","PPT106"
"H15MET","PPTH1502",08/05/1992 11:45:00,12/31/2050 00:00:00,410,0,"05 minutes","PPT013"
"PRIMET","PPTPRI01",09/28/1994 12:00:00,12/31/2050 00:00:00,100,0,"05 minutes","PPT008"
"UPLMET","PPTUPL01",09/02/1995 00:00:00,12/31/2050 00:00:00,455,0,"05 minutes","PPT015"
"UPLMET","PPTUPL02",10/10/1994 00:00:00,12/31/2050 00:00:00,625,0,"05 minutes","PPT016"
"VANMET","PPTVAR02",11/13/1998 12:15:00,12/31/2050 00:00:00,455,0,"05 minutes","PPT017"
"CENMET","RADCEN01",08/22/1995 12:15:00,12/31/2050 00:00:00,625,0,"15 minutes","RAD012"
"PRIMET","RADPRI01",09/24/1997 13:00:00,12/31/2050 00:00:00,100,0,"15 minutes","RAD006"
"PRIMET","RADPRI02",04/16/2013 13:30:00,12/31/2050 00:00:00,600,0,"05 minutes","RAD014"
"UPLMET","RADUPL01",10/10/1994 16:30:00,12/31/2050 00:00:00,615,0,"15 minutes","RAD011"
"VANMET","RADVAN01",09/19/1997 15:00:00,12/31/2050 00:00:00,850,0,"15 minutes","RAD010"
"VANMET","RADVAN02",09/13/2013 16:00:00,12/31/2050 00:00:00,600,0,"05 minutes","RAD014"
"CENMET","RELCEN01",08/26/2014 11:05:00,12/31/2050 00:00:00,450,0,"05 minutes","REL017"
"CENMET","RELCEN04",08/26/2014 11:05:00,12/31/2050 00:00:00,150,0,"05 minutes","REL016"
"CS2MET","RELCS202",08/01/2007 13:00:00,12/31/2050 00:00:00,150,0,"60 minutes","REL011"
"H15MET","RELH1501",01/31/2013 11:00:00,12/31/2050 00:00:00,450,0,"15 minutes","REL015"
"H15MET","RELH1502",01/31/2013 11:00:00,12/31/2050 00:00:00,150,0,"15 minutes","REL014"
"PRIMET","RELPRI01",05/15/2014 00:00:00,12/31/2050 00:00:00,450,0,"05 minutes","REL017"
"PRIMET","RELPRI04",05/15/2014 00:00:00,12/31/2050 00:00:00,150,0,"05 minutes","REL016"
"UPLMET","RELUPL01",06/28/2004 15:00:00,12/31/2050 00:00:00,450,0,"60 minutes","REL012"
"UPLMET","RELUPL04",06/18/2004 13:30:00,12/31/2050 00:00:00,150,0,"60 minutes","REL011"
"VANMET","RELVAN01",05/21/2014 00:00:00,12/31/2050 00:00:00,450,0,"05 minutes","REL017"
"VANMET","RELVAN04",05/21/2014 00:00:00,12/31/2050 00:00:00,150,0,"05 minutes","REL016"
"CENMET","SNOCEN01",08/30/2011 13:00:00,12/31/2050 00:00:00,335,0,"05 minutes","SNO010"
"CENMET","SNOCEN02",12/10/1997 14:10:00,12/31/2050 00:00:00,0,0,"Periodic","SWE003"
"CENMET","SNOCEN03",12/20/1995 13:45:00,12/31/2050 00:00:00,0,0,"Periodic","SWE001"
"PRIMET","SNOPRI01",01/07/2010 14:00:00,12/31/2050 00:00:00,345,0,"05 minutes","SNO011"
"UPLMET","SNOUPL01",10/17/2007 13:00:00,12/31/2050 00:00:00,555,0,"05 minutes","SNO013"
"CENMET","SNOUPL02",11/10/2008 11:30:00,12/31/2050 00:00:00,0,0,"Periodic","SWE002"
"CENMET","SNOUPL03",10/26/1994 12:10:00,12/31/2050 00:00:00,0,0,"Periodic","SWE001"
"VANMET","SNOVAN01",08/01/2007 17:00:00,12/31/2050 00:00:00,505,0,"05 minutes","SNO011"
"CENMET","SNOVAN02",01/07/2009 12:30:00,12/31/2050 00:00:00,0,0,"Periodic","SWE002"
"CENMET","SNOVAN03",10/27/1997 13:30:00,12/31/2050 00:00:00,0,0,"Periodic","SWE001"
"CENMET","SNOVAR04",10/29/2007 11:30:00,12/31/2050 00:00:00,0,0,"Periodic","SWE001"
"VARMET","SNOVAR05",10/23/2009 00:00:00,12/31/2050 00:00:00,585,0,"05 minutes","SNO012"
"CENMET","SOICEN01",08/26/2014 14:00:00,12/31/2050 00:00:00,0,10,"05 minutes","SOI011"
"CENMET","SOICEN02",08/26/2014 15:00:00,12/31/2050 00:00:00,0,20,"05 minutes","SOI012"
"CENMET","SOICEN03",08/26/2014 15:00:00,12/31/2050 00:00:00,0,50,"05 minutes","SOI013"
"CENMET","SOICEN04",08/26/2014 15:00:00,12/31/2050 00:00:00,0,100,"05 minutes","SOI014"
"PRIMET","SOIPRI01",04/30/2014 16:00:00,12/31/2050 00:00:00,0,10,"05 minutes","SOI011"
"PRIMET","SOIPRI02",04/30/2014 16:00:00,12/31/2050 00:00:00,0,20,"05 minutes","SOI012"
"PRIMET","SOIPRI03",04/30/2014 16:00:00,12/31/2050 00:00:00,0,50,"05 minutes","SOI013"
"PRIMET","SOIPRI04",04/30/2014 16:00:00,12/31/2050 00:00:00,0,100,"05 minutes","SOI014"
"UPLMET","SOIUPL01",10/14/2002 16:00:00,12/31/2050 00:00:00,0,10,"60 minutes","SOI001"
"UPLMET","SOIUPL02",10/14/2002 16:00:00,12/31/2050 00:00:00,0,20,"60 minutes","SOI002"
"UPLMET","SOIUPL03",10/14/2002 16:00:00,12/31/2050 00:00:00,0,50,"60 minutes","SOI003"
"UPLMET","SOIUPL04",10/14/2002 16:00:00,12/31/2050 00:00:00,0,100,"60 minutes","SOI004"
"VANMET","SOIVAN06",05/20/2014 15:00:00,12/31/2050 00:00:00,0,10,"05 minutes","SOI011"
"VANMET","SOIVAN07",05/20/2014 15:00:00,12/31/2050 00:00:00,0,20,"05 minutes","SOI012"
"VANMET","SOIVAN08",05/20/2014 15:00:00,12/31/2050 00:00:00,0,50,"05 minutes","SOI013"
"VANMET","SOIVAN09",05/20/2014 15:00:00,12/31/2050 00:00:00,0,100,"05 minutes","SOI014"
"CENMET","SWCCEN01",08/26/2014 15:00:00,12/31/2050 00:00:00,0,10,"05 minutes","SWC005"
"CENMET","SWCCEN02",08/26/2014 15:00:00,12/31/2050 00:00:00,0,20,"05 minutes","SWC006"
"CENMET","SWCCEN03",08/26/2014 15:00:00,12/31/2050 00:00:00,0,50,"05 minutes","SWC007"
"CENMET","SWCCEN04",08/26/2014 15:00:00,12/31/2050 00:00:00,0,100,"05 minutes","SWC008"
"PRIMET","SWCPRI01",04/30/2014 16:00:00,12/31/2050 00:00:00,0,10,"05 minutes","SWC005"
"PRIMET","SWCPRI02",04/30/2014 16:00:00,12/31/2050 00:00:00,0,20,"05 minutes","SWC006"
"PRIMET","SWCPRI03",04/30/2014 16:00:00,12/31/2050 00:00:00,0,50,"05 minutes","SWC007"
"PRIMET","SWCPRI04",04/30/2014 16:00:00,12/31/2050 00:00:00,0,100,"05 minutes","SWC008"
"UPLMET","SWCUPL01",05/29/2012 14:00:00,12/31/2050 00:00:00,0,10,"60 minutes","SWC001"
"UPLMET","SWCUPL02",05/29/2012 14:00:00,12/31/2050 00:00:00,0,20,"60 minutes","SWC002"
"UPLMET","SWCUPL03",05/29/2012 14:00:00,12/31/2050 00:00:00,0,50,"60 minutes","SWC003"
"UPLMET","SWCUPL04",05/29/2012 14:00:00,12/31/2050 00:00:00,0,100,"60 minutes","SWC004"
"VANMET","SWCVAN01",05/20/2014 15:00:00,12/31/2050 00:00:00,0,10,"05 minutes","SWC005"
"VANMET","SWCVAN02",05/20/2014 15:00:00,12/31/2050 00:00:00,0,20,"05 minutes","SWC006"
"VANMET","SWCVAN03",05/20/2014 15:00:00,12/31/2050 00:00:00,0,50,"05 minutes","SWC007"
"VANMET","SWCVAN04",05/20/2014 15:00:00,12/31/2050 00:00:00,0,100,"05 minutes","SWC008"
"CENMET","VPDCEN01",08/26/2014 00:00:00,12/31/2050 00:00:00,450,0,"05 minutes","VPD012"
"CENMET","VPDCEN04",08/26/2014 00:00:00,12/31/2050 00:00:00,150,0,"05 minutes","VPD011"
"CS2MET","VPDCS202",08/01/2007 13:00:00,12/31/2050 00:00:00,150,0,"60 minutes","VPD007"
"H15MET","VPDH1501",01/31/2013 11:00:00,12/31/2050 00:00:00,450,0,"60 minutes","VPD010"
"H15MET","VPDH1502",01/31/2013 11:00:00,12/31/2050 00:00:00,150,0,"60 minutes","VPD009"
"PRIMET","VPDPRI01",05/15/2014 00:15:00,12/31/2050 00:00:00,450,0,"05 minutes","VPD012"
"PRIMET","VPDPRI04",05/15/2014 00:15:00,12/31/2050 00:00:00,150,0,"05 minutes","VPD011"
"UPLMET","VPDUPL01",06/28/2004 15:00:00,12/31/2050 00:00:00,450,0,"60 minutes","VPD008"
"UPLMET","VPDUPL04",06/18/2004 14:00:00,12/31/2050 00:00:00,150,0,"60 minutes","VPD007"
"VANMET","VPDVAN01",05/21/2014 00:00:00,12/31/2050 00:00:00,450,0,"05 minutes","VPD012"
"VANMET","VPDVAN04",05/21/2014 00:00:00,12/31/2050 00:00:00,150,0,"05 minutes","VPD011"
"CENMET","WNDCEN01",08/22/1995 13:00:00,12/31/2050 00:00:00,1000,0,"60 minutes","WND008"
"H15MET","WNDH1501",01/31/2013 12:00:00,12/31/2050 00:00:00,500,0,"15 minutes","WND009"
"PRIMET","WNDPRI01",04/20/2013 08:00:00,12/31/2050 00:00:00,1000,0,"05 minutes","WND010"
"PRIMET","WNDPRI02",04/16/2013 13:30:00,12/31/2050 00:00:00,1000,0,"05 minutes","WND011"
"UPLMET","WNDUPL01",10/10/1994 17:00:00,12/31/2050 00:00:00,1000,0,"60 minutes","WND008"
"VANMET","WNDVAN01",09/18/2013 14:00:00,12/31/2050 00:00:00,1000,0,"05 minutes","WND010"
"VANMET","WNDVAN02",09/16/2013 16:30:00,12/31/2050 00:00:00,1000,0,"05 minutes","WND011"
